Date,Close/Last,Volume,Open,High,Low,Day
03/03/2021,150.25,79774500,154.06,155.39,149.75,258
03/04/2021,148.88,109631560,150.60,152.91,147.27,259
03/05/2021,150.02,107771020,150.25,150.45,144.05,260
03/08/2021,147.60,83700160,150.75,153.23,147.57,261
03/09/2021,153.14,80600640,150.90,154.55,150.26,262
03/10/2021,152.88,60249780,154.92,155.82,151.50,263
03/11/2021,155.68,55527820,155.20,156.59,154.15,264
03/12/2021,154.47,48437760,153.75,154.95,152.28,265
03/15/2021,154.08,58371840,153.73,154.11,151.60,266
03/16/2021,154.59,50775280,155.25,156.45,153.79,267
03/17/2021,156.79,62371680,153.66,158.65,153.51,268
03/18/2021,151.40,73140540,155.05,155.83,151.25,269
03/19/2021,153.75,92507080,151.46,153.86,150.83,270
03/22/2021,155.54,58043580,153.39,156.33,153.00,271
03/23/2021,156.88,76345260,156.35,159.10,156.04,272
03/24/2021,154.35,59179620,157.55,158.02,154.26,273
03/25/2021,152.31,71269380,153.65,155.49,151.86,274
03/26/2021,152.60,66258480,152.20,152.83,149.80,275
03/29/2021,153.79,54919360,152.77,154.56,151.42,276
03/30/2021,152.76,46752060,153.50,153.65,151.70,277
03/31/2021,154.70,61877920,153.20,155.97,153.13,278
04/01/2021,158.05,58806360,155.90,158.12,155.78,279
04/05/2021,161.34,66697640,158.65,161.80,158.06,280
04/06/2021,161.19,50756180,161.19,162.37,160.85,281
04/07/2021,163.97,66924540,161.69,165.18,161.18,282
04/08/2021,164.97,56241800,165.55,166.23,164.60,283
04/09/2021,168.61,86829460,165.24,168.61,164.45,284
04/12/2021,168.97,65635960,167.76,169.75,167.56,285
04/13/2021,170.00,66316740,170.04,171.60,169.78,286
04/14/2021,166.65,62904080,170.20,170.21,166.30,287
04/15/2021,168.95,64671600,168.55,169.85,167.60,288
04/16/2021,169.97,63720980,169.00,170.34,167.78,289
04/19/2021,168.60,54508100,169.52,171.80,168.01,290
04/20/2021,166.73,52460640,168.68,169.15,165.80,291
04/21/2021,168.10,44223320,165.80,168.14,165.19,292
04/22/2021,165.45,51611800,168.58,168.64,165.07,293
04/23/2021,167.04,63933040,165.96,168.75,165.43,294
04/26/2021,170.45,97614160,167.40,171.42,166.55,295
04/27/2021,170.87,76542800,172.17,173.00,169.90,296
04/28/2021,172.93,92637680,171.74,174.49,171.25,297
04/29/2021,173.57,153647620,175.25,175.72,171.75,298
04/30/2021,173.37,140186920,176.26,177.70,173.13,299
05/03/2021,169.32,117510600,174.24,174.33,168.64,300
05/04/2021,165.59,108788980,167.81,168.40,163.61,301
05/05/2021,163.53,74226160,166.94,167.73,163.22,302
05/06/2021,165.32,88953920,163.50,165.72,162.36,303
05/07/2021,164.58,94205520,165.95,166.54,164.45,304
05/10/2021,159.52,116772060,164.12,164.15,159.50,305
05/11/2021,161.20,92395620,156.81,161.90,156.37,306
05/12/2021,157.60,98728200,159.25,160.40,156.66,307
05/13/2021,158.07,67137540,159.27,160.19,156.65,308
05/14/2021,161.15,66500440,159.28,161.44,159.15,309
05/17/2021,163.52,73711980,162.30,164.64,161.73,310
05/18/2021,161.61,56567820,164.63,165.60,161.52,311
05/19/2021,161.59,53594160,159.75,161.74,159.20,312
05/20/2021,162.38,52663840,162.22,162.98,161.81,313
05/21/2021,160.15,82097640,162.50,162.83,159.85,314
05/24/2021,162.25,48456260,160.78,162.90,160.53,315
05/25/2021,162.95,65222180,163.33,163.99,160.69,316
